model,2nd_model,type,feature,importance,std,column
RandomForestRegressor,XGBoostRegressor,cascade,,0.071, +/- 0.004,prev_week
RandomForestRegressor,XGBoostRegressor,cascade,,0.071, +/- 0.020,next_hour
RandomForestRegressor,XGBoostRegressor,cascade,,0.040, +/- 0.004,next_day
RandomForestRegressor,XGBoostRegressor,cascade,,0.020, +/- 0.005,prev_day
RandomForestRegressor,XGBoostRegressor,cascade,,0.009, +/- 0.015,year
RandomForestRegressor,XGBoostRegressor,cascade,,0.003, +/- 0.016,next_week
RandomForestRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,month
RandomForestRegressor,XGBoostRegressor,cascade,,0.000, +/- 0.000,week_of_year
RandomForestRegressor,XGBoostRegressor,cascade,,-0.002, +/- 0.025,day_of_week
RandomForestRegressor,XGBoostRegressor,cascade,,-0.031, +/- 0.017,day
RandomForestRegressor,SVR,voting,,777.549, +/- 11.723,ts
RandomForestRegressor,SVR,voting,,6.932, +/- 0.127,next_hour
RandomForestRegressor,SVR,voting,,4.319, +/- 0.125,year
RandomForestRegressor,SVR,voting,,3.363, +/- 0.129,day_of_year
RandomForestRegressor,SVR,voting,,3.340, +/- 0.059,prev_hour
RandomForestRegressor,SVR,voting,,3.070, +/- 0.085,hour
RandomForestRegressor,SVR,voting,,2.819, +/- 0.093,month
RandomForestRegressor,SVR,voting,,2.753, +/- 0.133,week_of_year
RandomForestRegressor,SVR,voting,,2.741, +/- 0.104,day_of_week
RandomForestRegressor,SVR,voting,,2.647, +/- 0.197,next_week
RandomForestRegressor,SVR,voting,,2.375, +/- 0.121,prev_week
RandomForestRegressor,SVR,voting,,2.123, +/- 0.096,next_day
RandomForestRegressor,SVR,voting,,1.804, +/- 0.111,prev_day
RandomForestRegressor,SVR,voting,,1.125, +/- 0.039,day
RandomForestRegressor,SVR,cascade,,974.009, +/- 16.304,preds
RandomForestRegressor,SVR,cascade,,5.799, +/- 0.238,ts
RandomForestRegressor,SVR,cascade,,0.027, +/- 0.003,prev_week
RandomForestRegressor,SVR,cascade,,0.026, +/- 0.013,prev_hour
RandomForestRegressor,SVR,cascade,,0.026, +/- 0.009,next_week
RandomForestRegressor,SVR,cascade,,0.017, +/- 0.005,next_day
RandomForestRegressor,SVR,cascade,,0.011, +/- 0.002,hour
RandomForestRegressor,SVR,cascade,,0.010, +/- 0.006,next_hour
RandomForestRegressor,SVR,cascade,,0.006, +/- 0.006,week_of_year
RandomForestRegressor,SVR,cascade,,0.006, +/- 0.006,day_of_week
RandomForestRegressor,SVR,cascade,,0.005, +/- 0.007,day_of_year
RandomForestRegressor,SVR,cascade,,0.005, +/- 0.007,month
RandomForestRegressor,SVR,cascade,,0.005, +/- 0.007,year
RandomForestRegressor,SVR,cascade,,0.003, +/- 0.003,day
RandomForestRegressor,SVR,cascade,,-0.005, +/- 0.001,prev_day
RandomForestRegressor,GradientBoostingRegressor,voting,,812.179, +/- 11.875,ts
RandomForestRegressor,GradientBoostingRegressor,voting,,4.718, +/- 0.159,next_hour
RandomForestRegressor,GradientBoostingRegressor,voting,,3.507, +/- 0.151,prev_hour
RandomForestRegressor,GradientBoostingRegressor,voting,,1.996, +/- 0.108,hour
RandomForestRegressor,GradientBoostingRegressor,voting,,0.823, +/- 0.075,year
RandomForestRegressor,GradientBoostingRegressor,voting,,0.657, +/- 0.273,prev_week
