model,2nd_model,type,feature,importance,std,column
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.024, +/- 0.007,c6h6(gt)
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.019, +/- 0.005,pt08.s5(o3)
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.018, +/- 0.006,ah
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.014, +/- 0.003,pt08.s4(no2)
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.014, +/- 0.008,t
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.013, +/- 0.002,prev_day
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.010, +/- 0.005,day_of_year
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.008, +/- 0.000,day_of_week
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.005, +/- 0.006,next_day
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.005, +/- 0.003,day
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.004, +/- 0.002,month
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.002, +/- 0.003,next_week
DecisionTreeRegressor,GradientBoostingRegressor,voting,,0.000, +/- 0.000,year
DecisionTreeRegressor,GradientBoostingRegressor,voting,,-0.000, +/- 0.001,week_of_year
DecisionTreeRegressor,GradientBoostingRegressor,voting,,-0.002, +/- 0.000,prev_week
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,3.802, +/- 0.211,preds
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,pt08.s1(co)
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,rh
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,day_of_year
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,prev_day
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,ah
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,t
DecisionTreeRegressor,GradientBoostingRegressor,cascade,,0.000, +/- 0.000,prev_hour
